technology,config,n,stability_mean_jaccard,not_plausible_rate_occurrence,precision_proxy_occurrence,not_plausible_rate_dedup_canon,precision_proxy_dedup_canon,produced_components_median,silver_recall_proxy,final_convergence_mean,rounds_mean,runtime_seconds
Industrial Welding Robot Controller,v1v1v1,1,0.050755,0.000000,1.000000,0.000000,1.000000,6.000000,0.900000,0.895600,1.000000,56.792
Industrial Welding Robot Controller,d2v1v1,2,0.265000,0.000000,1.000000,0.000000,1.000000,3.000000,0.500000,0.911200,2.000000,2557.717
Industrial Welding Robot Controller,d3v1v1,3,0.160251,0.000000,1.000000,0.000000,1.000000,4.000000,0.900000,0.910400,2.200000,159.875
Industrial Welding Robot Controller,d4v1v1,4,0.175436,0.000000,1.000000,0.000000,1.000000,4.000000,0.800000,0.817600,2.200000,6194.850
Industrial Welding Robot Controller,d5v1v1,5,0.169712,0.000000,1.000000,0.000000,1.000000,5.000000,0.800000,0.848000,2.000000,6428.935
Inertial Navigation System,v1v1v1,1,0.045604,0.081081,0.918919,0.166667,0.833333,7.000000,0.800000,0.870600,1.000000,56.792
Inertial Navigation System,d2v1v1,2,0.123571,0.000000,1.000000,0.000000,1.000000,2.000000,0.250000,0.923400,2.000000,2557.717
Inertial Navigation System,d3v1v1,3,0.182143,0.000000,1.000000,0.000000,1.000000,4.000000,0.450000,0.922200,2.000000,159.875
Inertial Navigation System,d4v1v1,4,0.110369,0.035714,0.964286,0.000000,1.000000,4.000000,0.500000,0.902000,2.200000,6194.850
Inertial Navigation System,d5v1v1,5,0.179924,0.071429,0.928571,0.100000,0.900000,4.000000,0.500000,0.900000,2.200000,6428.935
LED Luminaire,v1v1v1,1,0.015758,0.000000,1.000000,0.000000,1.000000,5.000000,0.500000,0.893400,1.000000,56.792
LED Luminaire,d2v1v1,2,0.032424,0.041667,0.958333,0.200000,0.800000,2.000000,0.333333,0.950000,1.800000,2557.717
LED Luminaire,d3v1v1,3,0.213271,0.000000,1.000000,0.000000,1.000000,2.000000,0.500000,0.941400,2.000000,159.875
LED Luminaire,d4v1v1,4,0.208982,0.047619,0.952381,0.100000,0.900000,4.000000,0.750000,0.807200,1.200000,6194.850
LED Luminaire,d5v1v1,5,0.071869,0.034483,0.965517,0.000000,1.000000,3.000000,0.666667,0.930400,2.600000,6428.935
Laptop PC,v1v1v1,1,0.220636,0.052632,0.947368,0.111111,0.888889,5.000000,0.444444,0.920200,1.000000,56.792
Laptop PC,d2v1v1,2,0.224669,0.150000,0.850000,0.153846,0.846154,5.000000,0.666667,0.920375,1.750000,2557.717
Laptop PC,d3v1v1,3,0.267387,0.062500,0.937500,0.133333,0.866667,9.000000,0.777778,0.889600,1.400000,159.875
Laptop PC,d4v1v1,4,0.263671,0.104478,0.895522,0.125000,0.875000,11.000000,0.833333,0.849200,1.400000,6194.850
Laptop PC,d5v1v1,5,0.276441,0.093750,0.906250,0.133333,0.866667,10.000000,0.777778,0.852000,1.400000,6428.935
Large-Format OLED Television,v1v1v1,1,0.159982,0.032258,0.967742,0.111111,0.888889,4.000000,0.470588,0.835200,1.000000,56.792
Large-Format OLED Television,d2v1v1,2,0.114440,0.058824,0.941176,0.083333,0.916667,5.000000,0.647059,0.962000,2.000000,2557.717
Large-Format OLED Television,d3v1v1,3,0.368494,0.064516,0.935484,0.125000,0.875000,4.000000,0.411765,0.939000,1.800000,159.875
Large-Format OLED Television,d4v1v1,4,0.177059,0.150000,0.850000,0.142857,0.857143,6.000000,0.764706,0.918000,2.000000,6194.850
Large-Format OLED Television,d5v1v1,5,0.164521,0.117647,0.882353,0.181818,0.818182,7.500000,0.588235,0.898750,2.000000,6428.935
Laser Projector,v1v1v1,1,0.066012,0.000000,1.000000,0.000000,1.000000,7.000000,0.684211,0.894400,1.000000,56.792
Laser Projector,d2v1v1,2,0.263826,0.000000,1.000000,0.000000,1.000000,6.000000,0.473684,0.885800,2.000000,2557.717
Laser Projector,d3v1v1,3,0.166499,0.055556,0.944444,0.000000,1.000000,6.000000,0.526316,0.916000,2.000000,159.875
Laser Projector,d4v1v1,4,0.179182,0.000000,1.000000,0.000000,1.000000,6.000000,0.578947,0.943750,2.500000,6194.850
Laser Projector,d5v1v1,5,0.171608,0.000000,1.000000,0.000000,1.000000,5.000000,0.631579,0.946000,2.400000,6428.935
LiDAR Sensor System,v1v1v1,1,0.166850,0.138889,0.861111,0.000000,1.000000,5.000000,0.454545,0.886000,1.000000,56.792
LiDAR Sensor System,d2v1v1,2,0.092063,0.080000,0.920000,0.000000,1.000000,4.000000,0.454545,0.950000,2.000000,2557.717
LiDAR Sensor System,d3v1v1,3,0.228810,0.045455,0.954545,0.000000,1.000000,4.000000,0.363636,1.000000,2.000000,159.875
LiDAR Sensor System,d4v1v1,4,0.196684,0.130435,0.869565,0.000000,1.000000,4.500000,0.409091,0.942500,2.000000,6194.850
LiDAR Sensor System,d5v1v1,5,0.167172,0.080000,0.920000,0.000000,1.000000,5.500000,0.500000,1.000000,3.000000,6428.935
